2017-12-12~[3720, 1176]
2017-12-11~[3466, 1123]
2017-12-10~[3264, 1153]
2017-12-09~[3534, 1275]
2017-12-08~[9100, 3390]
2017-12-07~[5140, 1687]
2017-12-06~[7805, 2058]
2017-12-05~[7714, 2590]
2017-12-04~[7205, 2242]
2017-12-03~[3415, 1027]
2017-12-02~[2558, 849]
2017-12-01~[3936, 1582]
2017-11-30~[3660, 1353]
2017-11-29~[5627, 1837]
2017-11-28~[5102, 1484]
2017-11-27~[4264, 1236]
2017-11-26~[3538, 1072]
2017-11-25~[2957, 938]
2017-11-24~[4287, 1183]
2017-11-23~[4924, 1381]
2017-11-22~[4645, 1399]
2017-11-21~[5426, 1825]
2017-11-20~[5701, 1802]
2017-11-19~[2828, 893]
2017-11-18~[2741, 932]
2017-11-17~[4075, 1437]
2017-11-16~[3963, 1421]
2017-11-15~[4263, 1377]
2017-11-14~[4616, 1577]
2017-11-13~[4162, 1267]
2017-11-12~[3078, 1009]
2017-11-11~[2690, 889]
2017-11-10~[4425, 1611]
2017-11-09~[3197, 1151]
2017-11-08~[3200, 1089]
2017-11-07~[3115, 859]
2017-11-06~[3142, 860]
2017-11-05~[2195, 677]
2017-11-04~[1863, 602]
2017-11-03~[2253, 743]
2017-11-02~[3288, 1004]
2017-11-01~[3481, 908]
2017-10-31~[3122, 1017]
2017-10-30~[2561, 796]
2017-10-29~[2498, 750]
2017-10-28~[2368, 705]
2017-10-27~[3765, 1221]
2017-10-26~[3820, 984]
2017-10-25~[4379, 1256]
2017-10-24~[4480, 1330]
2017-10-23~[3516, 1073]
2017-10-22~[3046, 851]
2017-10-21~[3066, 805]
2017-10-20~[4799, 1777]
2017-10-19~[4584, 1446]
2017-10-18~[3964, 1195]
2017-10-17~[4962, 1344]
2017-10-16~[4063, 1129]
2017-10-15~[3583, 1051]
2017-10-14~[2763, 879]
2017-10-13~[4049, 1500]
2017-10-12~[2089, 733]
2017-10-11~[506, 145]
2017-10-10~[481, 144]
2017-10-09~[438, 108]
2017-10-08~[240, 55]
2017-10-07~[172, 44]
2017-10-06~[2715, 939]
2017-10-05~[2910, 933]
2017-10-04~[2757, 1125]
2017-10-03~[3698, 1282]
2017-10-02~[2274, 678]
2017-10-01~[2205, 910]
2017-09-30~[2330, 735]
2017-09-29~[3384, 1007]
2017-09-28~[3302, 1109]
2017-09-27~[3633, 905]
2017-09-26~[3376, 1092]
2017-09-25~[4062, 1249]
2017-09-24~[3847, 1195]
2017-09-23~[3700, 1329]
2017-09-22~[6930, 2545]
2017-09-21~[3358, 1134]
2017-09-20~[3132, 994]
2017-09-19~[3703, 1052]
2017-09-18~[4529, 1199]
2017-09-17~[2944, 799]
2017-09-16~[2808, 734]
2017-09-15~[2836, 966]
2017-09-14~[3550, 1137]
2017-09-13~[3908, 1545]
2017-09-12~[3592, 1311]
2017-09-11~[3576, 1203]
2017-09-10~[2742, 1018]
2017-09-09~[2694, 958]
2017-09-08~[3080, 957]
2017-09-07~[4040, 1331]
2017-09-06~[2815, 835]
2017-09-05~[2892, 988]
2017-09-04~[3158, 1010]
2017-09-03~[2962, 931]
2017-09-02~[2229, 609]
2017-09-01~[3341, 1084]
2017-08-31~[3345, 1257]
2017-08-30~[3043, 932]
2017-08-29~[2861, 911]
2017-08-28~[2653, 814]
2017-08-27~[2852, 768]
2017-08-26~[2035, 474]
2017-08-25~[2702, 794]
2017-08-24~[2889, 828]
2017-08-23~[2715, 857]
2017-08-22~[2314, 737]
2017-08-21~[2286, 686]
2017-08-20~[2222, 492]
2017-08-19~[1644, 435]
2017-08-18~[1779, 688]
2017-08-17~[2613, 799]
2017-08-16~[3247, 1085]
2017-08-15~[3701, 1213]
2017-08-14~[2431, 799]
2017-08-13~[2101, 647]
2017-08-12~[1674, 565]
2017-08-11~[2576, 694]
2017-08-10~[2302, 743]
2017-08-09~[2326, 748]
2017-08-08~[2531, 831]
2017-08-07~[2682, 877]
2017-08-06~[2524, 850]
